USER,EXCHANGE,SYMBOL,EXPIRATION,STRIKE,C/P,B/S,FILLED QTY,PREMIUM,DATE,ORDER TYPE,GIVEUP,CMTA FIRM,RANGE,ACCOUNT,COMPANY,DEST COMPANY,ELECTRONIC,LEG NUMBER,USER QTY,FIX QTY,HANDLING,CONNECTION,SECURITY TYPE,CROSSING,PENNY,SYMBOL TYPE,PTMID,LINK EXCH,ParentExDestination,ORDERID,REPORTID,CL_ORD_ID,LiquidityFlag,Open_Close,cross_type,custom_billing_tag,LADR,LADR$,BPCR,BPCR$,ETF,ETF$,SRCTF,SRCTF$,TPF,TPF$,CMTA,CMTA$,LF,LF$,MDPT,MDPT$,CAT,CAT$,TOTAL COMMISSIONS,TOTAL EXCHANGE FEES
dfilippidis|WH59,AMEX,ZM,2021-05-21, $310.00 ,P,BUY,280, $8.70 ,2021-05-17,Done Away Managed,411,505,FIRM,CIT,CIT,BLOGS,MANUAL,2/3,0,0,129,,Option,0,0,Equity,0,A,ISTG,388839732,1345101476,22417405,,O,,, -   , -   , 0.0250 , 7.0000 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
dfilippidis|WH59,AMEX,LOW,2021-07-16, $140.00 ,P,SELL,700, $0.46 ,2021-05-18,Done Away Managed,411,505,FIRM,CIT,CIT,BLOGS,MANUAL,3/3,0,0,129,,Option,0,1,Equity,0,A,ISTG,388845011,1345161506,22424056,,O,,, -   , -   , 0.0250 , 17.5000 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
oscargruss|GH59,AMEX,MSFT,2021-05-21, $240.00 ,P,BUY,330, $0.61 ,2021-05-18,Done Away Managed,411,505,FIRM,CIT,CIT,BLOGS,MANUAL,3/3,0,0,129,,Option,0,1,Equity,0,A,ISTG,388847436,1345189513,22426992,,O,,, -   , -   , 0.0250 , 8.2500 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
oscargruss|GH59,BOX,KGC,2023-01-20, $7.00 ,P,SELL,"2,800", $1.34 ,2021-05-19,Done Away Managed,411,505,FIRM,CIT,CIT,BLOGS,MANUAL,3/3,0,0,129,,Option,0,1,Equity,0,B,ISTG,388855289,1345278243,22436237,,O,,, -   , -   , 0.0250 , 70.0000 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
RBCBPSOT,PHLX,QCOM,2023-01-20, $85.00 ,P,BUY,189, $4.40 ,2021-05-19,Done Away Managed,235,235,FIRM,RBCBP,OERBCX,BLOGS,MANUAL,2/2,0,0,129,,Option,0,1,Equity,0,X,,388854447,1345267359,0180350257,,O,,, -   , -   , 0.0250 , 4.7250 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
oscargruss|WH59,AMEX,SHOP,2021-05-21," $1,140.00 ",P,BUY,40, $29.80 ,2021-05-19,Done Away Managed,411,505,FIRM,CIT,CIT,BLOGS,MANUAL,3/3,0,0,129,,Option,0,0,Equity,0,A,ISTG,388850450,1345224115,22430713,,O,,, -   , -   , 0.0250 , 1.0000 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
oscargruss|GH59,ISE,SMH,2021-11-19, $220.00 ,P,SELL,200, $15.37 ,2021-05-19,Done Away Managed,411,505,FIRM,CIT,CIT,BLOGS,MANUAL,2/2,0,0,129,,Option,0,1,ETF,0,I,ISTG,388853073,1345254208,22433693,,O,,, -   , -   , 0.0250 , 5.0000 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
dfilippidis|WH59,AMEX,AMD,2021-06-18, $77.50 ,P,SELL,800, $3.30 ,2021-05-20,Done Away Managed,411,505,FIRM,CIT,CIT,BLOGS,MANUAL,2/3,0,0,129,,Option,0,1,Equity,0,A,ISTG,388860394,1345335708,22442036,,O,,, -   , -   , 0.0250 , 20.0000 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
oscargruss|GH59,AMEX,BRKB,2022-01-21, $250.00 ,P,BUY,180, $5.75 ,2021-05-20,Done Away Managed,411,505,FIRM,CIT,CIT,BLOGS,MANUAL,2/2,0,0,129,,Option,0,1,Equity,0,A,ISTG,388859679,1345327880,22441258,,O,,, -   , -   , 0.0250 , 4.5000 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
oscargruss|XJ59,AMEX,SEDG,2021-05-21, $250.00 ,C,BUY,100, $3.50 ,2021-05-20,Done Away Managed,411,505,FIRM,CIT,CIT,BLOGS,MANUAL,3/3,0,0,129,,Option,0,0,Equity,0,A,ISTG,388860589,1345337860,22442311,,O,,, -   , -   , 0.0250 , 2.5000 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
