USER,EXCHANGE,SYMBOL,EXPIRATION,STRIKE,C/P,B/S,FILLED QTY,PREMIUM,DATE,ORDER TYPE,GIVEUP,CMTA FIRM,RANGE,ACCOUNT,COMPANY,DEST COMPANY,ELECTRONIC,LEG NUMBER,USER QTY,FIX QTY,HANDLING,CONNECTION,SECURITY TYPE,CROSSING,PENNY,SYMBOL TYPE,PTMID,LINK EXCH,ParentExDestination,ORDERID,REPORTID,CL_ORD_ID,LiquidityFlag,Open_Close,cross_type,custom_billing_tag,OSISeries,ATS_CHANNEL,fix_comp_id,SubAccount3,BPCR,BPCR$,LF,LF$,MDPT,MDPT$,PHLXCOB,PHLXCOB$,ISECOB,ISECOB$,CAT,CAT$,TOTAL COMMISSIONS,TOTAL EXCHANGE FEES
oscargruss|GH59,AMEX,MRNA,9/16/2022,$290.00 ,P,SELL,170,$42.50 ,10/4/2021,Done Away Managed,411,505,FIRM,CIT,CIT,BLOGS,MANUAL,2-Feb,0,0,129,,Option,0,1,Equity,0,A,ISTG,389558489,1353205307,23297053,,O,,,MRNA  220916P00290000,,,P,0.0168,2.8557, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
oscargruss|WH59,BOX,MSFT,9/16/2022,$240.00 ,P,SELL,300,$15.65 ,10/4/2021,Done Away Managed,411,505,FIRM,CIT,CIT,BLOGS,MANUAL,2-Feb,0,0,129,,Option,0,1,Equity,0,B,ISTG,389556132,1353179056,23293963,,O,,,MSFT  220916P00240000,,,P,0.0168,5.0395, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
oscargruss|GH59,AMEX,SO,6/17/2022,$67.50 ,C,BUY,600,$1.30 ,10/4/2021,Done Away Managed,411,505,FIRM,CIT,CIT,BLOGS,MANUAL,3-Mar,0,0,129,,Option,0,0,Equity,0,A,ISTG,389553841,1353155081,23291300,,O,,,SO    220617C00067500,,,P,0.0168,10.0791, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
oscargruss|GH59,AMEX,SO,6/17/2022,$52.50 ,P,BUY,900,$1.70 ,10/4/2021,Done Away Managed,411,505,FIRM,CIT,CIT,BLOGS,MANUAL,3-Feb,0,0,129,,Option,0,0,Equity,0,A,ISTG,389553841,1353155080,23291300,,O,,,SO    220617P00052500,,,P,0.0168,15.1186, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
dfilippidis|WH59,CBOE,SPX,10/15/2021,"$3,600.00 ",P,BUY,600,$2.00 ,10/4/2021,Done Away Managed,411,505,FIRM,CIT,CIT,BLOGS,MANUAL,1-Jan,0,0,129,,Option,0,0,Index,0,C,ISTG,389557113,1353189880,23295292,,O,,,SPX   211015P03600000,,,P,0.0168,10.0791, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
dfilippidis|WH59,CBOE,SPX,11/19/2021,"$3,500.00 ",P,BUY,300,$12.38 ,10/4/2021,Done Away Managed,411,505,FIRM,CIT,CIT,BLOGS,MANUAL,3-Jan,0,0,129,,Option,0,0,Index,0,C,ISTG,389554015,1353157971,23291492,,O,,,SPX   211119P03500000,,,P,0.0168,5.0395, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
dfilippidis|IL59,CBOE,SPX,12/17/2021,"$4,275.00 ",C,SELL,114,$154.00 ,10/4/2021,Done Away Managed,411,505,FIRM,CIT,CIT,BLOGS,MANUAL,4-Apr,0,0,129,,Option,0,0,Index,0,C,ISTG,389556598,1353185259,23294544,,O,,,SPX   211217C04275000,,,P,0.0168,1.915, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
dfilippidis|YWL,CBOE,SPX,12/17/2021,"$4,280.00 ",C,BUY,25,$152.00 ,10/4/2021,Done Away Managed,411,505,FIRM,CIT,CIT,BLOGS,MANUAL,3-Mar,0,0,129,,Option,0,0,Index,0,C,ISTG,389554078,1353158590,23291565,,O,,,SPX   211217C04280000,,,P,0.0168,0.42, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
dfilippidis|IL59,CBOE,SPX,12/17/2021,"$4,280.00 ",C,BUY,195,$152.50 ,10/4/2021,Done Away Managed,411,505,FIRM,CIT,CIT,BLOGS,MANUAL,5-May,0,0,129,,Option,0,0,Index,0,C,ISTG,389558473,1353205221,23297027,,O,,,SPX   211217C04280000,,,P,0.0168,3.2757, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
dfilippidis|WH59,CBOE,SPX,12/17/2021,"$4,280.00 ",C,BUY,18,$154.00 ,10/4/2021,Done Away Managed,411,505,FIRM,CIT,CIT,BLOGS,MANUAL,3-Mar,0,0,129,,Option,0,0,Index,0,C,ISTG,389554015,1353157970,23291492,,O,,,SPX   211217C04280000,,,P,0.0168,0.3024, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
dfilippidis|YWL,CBOE,SPX,12/17/2021,"$4,280.00 ",C,SELL,25,$151.50 ,10/4/2021,Done Away Managed,411,505,FIRM,CIT,CIT,BLOGS,MANUAL,3-Mar,0,0,129,,Option,0,0,Index,0,C,ISTG,389558892,1353209954,23297702,,O,,,SPX   211217C04280000,,,P,0.0168,0.42, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
