Trade Date,Exch,B/S,P/C,Qty,Class,Sym,Mo,Yr,Strike,Price,O/C,CFM,optional data,Client Order ID,Ex Brok,MM ID,CMTA,Ex Firm,Client ID,Billing ID,Account,Trader,CompID,Cust ID,Product Code,Penny,Parent Type,ise_mt,phlx_mt,Liquidity,Exec Rate,Exec Charge,Exch Trans Fees,OCC Clrg Fees,Total Charges,transaction_ID
01/07/21,AMEX,B,P,200 ,QQQ,QQQ,6,2021 ,320.00,24.40 ,C,P,214715217,,E35J,,444,792,oscarg,oscarg,,,,,etf_qqq,Y,,,,N,0.100 ,20.00 ,50.00 ,0.00 ,70.00 ,130801986 
01/08/21,AMEX,B,P,100 ,BIDU,BIDU,1,2022 ,200.00,27.80 ,C,C,214881458,,E35J,,273,792,oscarg,oscarg,,,,,,Y,,,,N,0.100 ,10.00 ,0.00 ,0.00 ,10.00 ,131240189 
01/08/21,AMEX,S,P,135 ,BIIB,BIIB,1,2021 ,250.00,6.65 ,C,C,214867708,,E35J,,111,792,oscarg,oscarg,,,,,,,,,,N,0.100 ,13.50 ,0.00 ,0.00 ,13.50 ,131175602 
01/08/21,AMEX,B,P,300 ,BILI,BILI,4,2021 ,110.00,12.15 ,C,P,214823428,,E35J,,444,792,oscarg,oscarg,,,,,,Y,,,,N,0.100 ,30.00 ,75.00 ,0.00 ,105.00 ,131108782 
01/08/21,AMEX,S,C,500 ,DD,DD,2,2021 ,105.00,0.05 ,C,C,214853788,,E35J,,444,792,oscarg,oscarg,,,,,,Y,,,,N,0.100 ,50.00 ,0.00 ,0.00 ,50.00 ,131154204 
01/08/21,AMEX,S,P,500 ,DD,DD,2,2021 ,105.00,23.63 ,C,P,214831148,,E35J,,352,792,oscarg,oscarg,,,,,,Y,,,,N,0.100 ,50.00 ,125.00 ,0.00 ,175.00 ,131380124 
01/08/21,AMEX,B,P,500 ,DD,DD,2,2021 ,105.00,24.05 ,C,C,214853788,,E35J,,444,792,oscarg,oscarg,,,,,,Y,,,,N,0.100 ,50.00 ,0.00 ,0.00 ,50.00 ,131153461 
01/08/21,AMEX,B,C,75 ,FB,FB,6,2021 ,250.00,33.70 ,O,N,214839128,,E35J,362,010,792,oscarg,oscarg,,,,,,Y,,,,N,0.100 ,7.50 ,18.75 ,0.00 ,26.25 ,131080986 
01/12/21,AMEX,B,C,150 ,KBH,KBH,1,2021 ,30.00,3.85 ,O,N,2150325412,,E35J,362,010,792,oscarg,oscarg,,,,,,,,,,N,0.100 ,15.00 ,37.50 ,0.00 ,52.50 ,131762714 
01/12/21,AMEX,B,P,150 ,KBH,KBH,1,2021 ,30.00,0.10 ,O,N,2150325412,,E35J,362,010,792,oscarg,oscarg,,,,,,,,,,N,0.100 ,15.00 ,37.50 ,0.00 ,52.50 ,131762635 
01/12/21,AMEX,B,P,500 ,QQQ,QQQ,1,2023 ,305.00,41.90 ,C,C,2151223612,,E35J,,551,792,oscarg,oscarg,,,,,etf_qqq,Y,,,,C,0.100 ,50.00 ,0.00 ,0.00 ,50.00 ,131756730 
01/12/21,AMEX,B,P,250 ,QQQ,QQQ,1,2023 ,305.00,41.90 ,C,C,2151223612,,E35J,,551,792,oscarg,oscarg,,,,,etf_qqq,Y,,,,C,0.100 ,25.00 ,0.00 ,0.00 ,25.00 ,131756399 
01/12/21,AMEX,B,P,200 ,QQQ,QQQ,1,2023 ,305.00,41.90 ,C,C,2151223612,,E35J,,551,792,oscarg,oscarg,,,,,etf_qqq,Y,,,,C,0.100 ,20.00 ,0.00 ,0.00 ,20.00 ,131755939 
01/12/21,AMEX,B,P,200 ,QQQ,QQQ,1,2023 ,305.00,41.90 ,C,C,2151223612,,E35J,,551,792,oscarg,oscarg,,,,,etf_qqq,Y,,,,C,0.100 ,20.00 ,0.00 ,0.00 ,20.00 ,131756812 
01/12/21,AMEX,B,P,120 ,SE,SE,2,2021 ,200.00,8.40 ,O,N,2150772512,,E35J,362,010,792,oscarg,oscarg,,,,,,Y,,,,N,0.100 ,12.00 ,30.00 ,0.00 ,42.00 ,131709118 
01/12/21,AMEX,B,P,120 ,SE,SE,5,2021 ,200.00,21.65 ,O,N,2150772512,,E35J,362,010,792,oscarg,oscarg,,,,,,Y,,,,N,0.100 ,12.00 ,30.00 ,0.00 ,42.00 ,131709310 
01/12/21,AMEX,S,P,60 ,SE,SE,5,2021 ,210.00,26.40 ,O,N,2151222612,,E35J,362,010,792,oscarg,oscarg,,,,,,Y,,,,N,0.100 ,6.00 ,15.00 ,0.00 ,21.00 ,131777253 
01/12/21,AMEX,S,C,60 ,SE,SE,5,2021 ,260.00,16.60 ,O,N,2151222612,,E35J,362,010,792,oscarg,oscarg,,,,,,Y,,,,N,0.100 ,6.00 ,15.00 ,0.00 ,21.00 ,131775142 
01/12/21,AMEX,S,P,150 ,TSLA,TSLA,6,2022 ,400.00,56.10 ,C,C,2150578712,,E35J,,608,792,oscarg,oscarg,,,,,,Y,,,,N,0.100 ,15.00 ,0.00 ,0.00 ,15.00 ,131644443 
01/12/21,AMEX,B,P,100 ,TSLA,TSLA,6,2022 ,650.00,173.15 ,C,C,2150578712,,E35J,,608,792,oscarg,oscarg,,,,,,Y,,,,N,0.100 ,10.00 ,0.00 ,0.00 ,10.00 ,131644316 
01/12/21,AMEX,B,P,250 ,V,V,6,2021 ,195.00,9.45 ,C,F,2150291312,,E35J,,010,792,oscarg,oscarg,,,,,,Y,,,,N,0.100 ,25.00 ,62.50 ,0.00 ,87.50 ,131646418 
01/12/21,AMEX,S,C,702 ,XLE,XLE,1,2021 ,41.00,2.45 ,C,C,2150901312,,E35J,,273,792,oscarg,oscarg,,,,,etf,Y,,,,N,0.100 ,70.20 ,0.00 ,0.00 ,70.20 ,131715166 
01/12/21,AMEX,S,C,78 ,XLE,XLE,1,2021 ,41.00,2.45 ,C,C,2150901312,,E35J,,273,792,oscarg,oscarg,,,,,etf,Y,,,,N,0.100 ,7.80 ,0.00 ,0.00 ,7.80 ,131715155 
01/12/21,AMEX,B,C,702 ,XLE,XLE,1,2021 ,46.00,0.10 ,C,C,2150901312,,E35J,,273,792,oscarg,oscarg,,,,,etf,Y,,,,N,0.100 ,70.20 ,0.00 ,0.00 ,70.20 ,131715137 
01/12/21,AMEX,B,C,78 ,XLE,XLE,1,2021 ,46.00,0.10 ,C,C,2150901312,,E35J,,273,792,oscarg,oscarg,,,,,etf,Y,,,,N,0.100 ,7.80 ,0.00 ,0.00 ,7.80 ,131715099 
01/12/21,AMEX,B,C,1170 ,XLE,XLE,2,2021 ,44.00,1.95 ,C,C,2150902412,,E35J,,273,792,oscarg,oscarg,,,,,etf,Y,,,,N,0.100 ,117.00 ,0.00 ,0.00 ,117.00 ,131715092 
01/12/21,AMEX,B,C,130 ,XLE,XLE,2,2021 ,44.00,1.95 ,C,C,2150902412,,E35J,,273,792,oscarg,oscarg,,,,,etf,Y,,,,N,0.100 ,13.00 ,0.00 ,0.00 ,13.00 ,131715109 
01/12/21,AMEX,S,C,1170 ,XLE,XLE,2,2021 ,49.00,0.53 ,C,C,2150902412,,E35J,,273,792,oscarg,oscarg,,,,,etf,Y,,,,N,0.100 ,117.00 ,0.00 ,0.00 ,117.00 ,131715481 
01/12/21,AMEX,S,C,130 ,XLE,XLE,2,2021 ,49.00,0.53 ,C,C,2150902412,,E35J,,273,792,oscarg,oscarg,,,,,etf,Y,,,,N,0.100 ,13.00 ,0.00 ,0.00 ,13.00 ,131715180 
01/12/21,AMEX,B,C,9000 ,XLE,XLE,3,2021 ,47.00,1.53 ,C,C,2151234212,,E35J,,273,792,oscarg,oscarg,,,,,etf,Y,,,,N,0.100 ,900.00 ,0.00 ,0.00 ,900.00 ,131791983 
01/12/21,AMEX,B,C,1000 ,XLE,XLE,3,2021 ,47.00,1.53 ,C,C,2151234212,,E35J,,273,792,oscarg,oscarg,,,,,etf,Y,,,,N,0.100 ,100.00 ,0.00 ,0.00 ,100.00 ,131791974 
01/12/21,AMEX,S,C,4500 ,XLE,XLE,3,2021 ,52.00,0.52 ,C,C,2151234212,,E35J,,273,792,oscarg,oscarg,,,,,etf,Y,,,,N,0.100 ,450.00 ,0.00 ,0.00 ,450.00 ,131792150 
01/12/21,AMEX,S,C,500 ,XLE,XLE,3,2021 ,52.00,0.52 ,C,C,2151234212,,E35J,,273,792,oscarg,oscarg,,,,,etf,Y,,,,N,0.100 ,50.00 ,0.00 ,0.00 ,50.00 ,131792154 
01/13/21,AMEX,B,C,600 ,DD,DD,2,2021 ,120.00,0.10 ,C,F,2152019213,,E35J,,353,792,oscarg,oscarg,,,,,,Y,,,,C,0.100 ,60.00 ,120.00 ,0.00 ,180.00 ,132066291 
01/13/21,AMEX,B,C,400 ,DD,DD,2,2021 ,120.00,0.10 ,C,F,2152019213,,E35J,,353,792,oscarg,oscarg,,,,,,Y,,,,C,0.100 ,40.00 ,80.00 ,0.00 ,120.00 ,132097672 
01/13/21,AMEX,B,C,400 ,DD,DD,2,2021 ,120.00,0.10 ,C,F,2152060713,,E35J,,353,792,oscarg,oscarg,,,,,,Y,,,,N,0.100 ,40.00 ,100.00 ,0.00 ,140.00 ,132064106 
01/13/21,AMEX,S,P,600 ,DD,DD,2,2021 ,120.00,37.85 ,C,F,2152019213,,E35J,,353,792,oscarg,oscarg,,,,,,Y,,,,C,0.100 ,60.00 ,120.00 ,0.00 ,180.00 ,132064736 
01/13/21,AMEX,S,P,400 ,DD,DD,2,2021 ,120.00,37.85 ,C,F,2152019213,,E35J,,353,792,oscarg,oscarg,,,,,,Y,,,,C,0.100 ,40.00 ,80.00 ,0.00 ,120.00 ,132097674 
01/13/21,AMEX,S,P,400 ,DD,DD,2,2021 ,120.00,38.62 ,C,F,2152060713,,E35J,,353,792,oscarg,oscarg,,,,,,Y,,,,N,0.100 ,40.00 ,100.00 ,0.00 ,140.00 ,132063113 
01/13/21,AMEX,B,P,150 ,FB,FB,3,2021 ,250.00,16.30 ,C,B,2151467813,,E35J,,284,792,oscarg,oscarg,,,,,,Y,,,,N,0.100 ,15.00 ,37.50 ,0.00 ,52.50 ,132078648 
01/13/21,AMEX,S,P,100 ,QQQ,QQQ,1,2021 ,314.00,1.52 ,C,P,2151660413,,E35J,,352,792,oscarg,oscarg,,,,,etf_qqq,Y,,,,N,0.100 ,10.00 ,25.00 ,0.00 ,35.00 ,131993555 
01/13/21,AMEX,S,C,100 ,QQQ,QQQ,1,2021 ,320.00,0.83 ,C,P,2151660413,,E35J,,352,792,oscarg,oscarg,,,,,etf_qqq,Y,,,,N,0.100 ,10.00 ,25.00 ,0.00 ,35.00 ,131993997 
01/13/21,AMEX,B,P,650 ,QQQ,QQQ,12,2021 ,265.00,14.45 ,C,B,2152385913,,E35J,,284,792,oscarg,oscarg,,,,,etf_qqq,Y,,,,C,0.100 ,65.00 ,130.00 ,0.00 ,195.00 ,132019074 
01/14/21,AMEX,B,P,250 ,DIS,DIS,5,2021 ,170.00,10.10 ,C,C,2152602914,,E35J,,551,792,oscarg,oscarg,,,,,,Y,,,,N,0.100 ,25.00 ,0.00 ,0.00 ,25.00 ,132252527 
01/14/21,AMEX,B,P,200 ,PRU,PRU,2,2021 ,80.00,2.48 ,C,C,2152553214,,E35J,,551,792,oscarg,oscarg,,,,,,,,,,N,0.100 ,20.00 ,0.00 ,0.00 ,20.00 ,132198169 
01/14/21,AMEX,B,C,800 ,V,V,1,2021 ,205.00,2.07 ,C,C,2152886814,,E35J,,608,792,oscarg,oscarg,,,,,,Y,,,,C,0.100 ,80.00 ,0.00 ,0.00 ,80.00 ,132333728 
01/14/21,AMEX,B,C,250 ,V,V,1,2021 ,205.00,2.07 ,C,C,2152886814,,E35J,,608,792,oscarg,oscarg,,,,,,Y,,,,C,0.100 ,25.00 ,0.00 ,0.00 ,25.00 ,132334162 
01/14/21,AMEX,S,P,800 ,V,V,1,2021 ,205.00,1.22 ,C,C,2152886814,,E35J,,608,792,oscarg,oscarg,,,,,,Y,,,,C,0.100 ,80.00 ,0.00 ,0.00 ,80.00 ,132332952 
01/14/21,AMEX,S,P,250 ,V,V,1,2021 ,205.00,1.22 ,C,C,2152886814,,E35J,,608,792,oscarg,oscarg,,,,,,Y,,,,C,0.100 ,25.00 ,0.00 ,0.00 ,25.00 ,132332961 
01/14/21,AMEX,B,P,500 ,V,V,3,2021 ,210.00,11.45 ,C,C,2152917014,,E35J,,608,792,oscarg,oscarg,,,,,,Y,,,,N,0.100 ,50.00 ,0.00 ,0.00 ,50.00 ,132340640 
01/14/21,AMEX,B,P,175 ,V,V,3,2021 ,210.00,11.45 ,C,C,2152917014,,E35J,,608,792,oscarg,oscarg,,,,,,Y,,,,N,0.100 ,17.50 ,0.00 ,0.00 ,17.50 ,132340692 
01/14/21,AMEX,B,P,25 ,V,V,3,2021 ,210.00,11.45 ,C,C,2152917014,,E35J,,608,792,oscarg,oscarg,,,,,,Y,,,,N,0.100 ,2.50 ,0.00 ,0.00 ,2.50 ,132330212 
01/14/21,AMEX,S,C,500 ,V,V,3,2021 ,215.00,5.30 ,C,C,2152917014,,E35J,,608,792,oscarg,oscarg,,,,,,Y,,,,N,0.100 ,50.00 ,0.00 ,0.00 ,50.00 ,132379634 
01/14/21,AMEX,S,C,175 ,V,V,3,2021 ,215.00,5.30 ,C,C,2152917014,,E35J,,608,792,oscarg,oscarg,,,,,,Y,,,,N,0.100 ,17.50 ,0.00 ,0.00 ,17.50 ,132380138 
